targeted_lcc,num_components,targeted_fragmentation,targeted_drop_percent,k,random_lcc,random_fragmentation,random_drop_percent,improvement_percent
118755,5901,0.09746236101505557,0.3147821707378494,1,119129,0.09461996215201518,0.0008394191219675984,0.3139427516158818
118645,5998,0.09829150769885542,0.40711827415428525,2,119128,0.0946206812689051,0.001678838243935197,0.40543943591035003
118587,6048,0.09872546113682479,0.45580458322840595,3,119127,0.09462140039672584,0.0025182573659027953,0.45328632586250317
118530,6097,0.09915182100079045,0.503651473180559,4,119126,0.09462211953547761,0.003357676487870394,0.5002937966926886
118407,6211,0.10007980239407177,0.6069000251825736,5,119113,0.09471404142124262,0.014270125073449172,0.5926299001091244
118322,6287,0.10071898703391247,0.6782506505498195,6,119112,0.09471476127502398,0.015109544195416772,0.6631411063544027
118166,6412,0.1018978057808213,0.8092000335767648,7,119111,0.09471548113974748,0.01594896331738437,0.7932510702593805
117967,6590,0.10340345970267228,0.9762444388483169,8,119110,0.09471620101541356,0.01678838243935197,0.9594560564089649
117859,6681,0.10421749473668207,1.0669017040208177,9,119109,0.09471692090202244,0.017627801561319566,1.0492739024594981
117764,6752,0.104932735426009,1.1466465206077394,10,119108,0.09471764079957434,0.018467220683287162,1.1281792999244522
117605,6901,0.10613442376243643,1.2801141610005875,11,119106,0.09472596128267297,0.020146058927222363,1.259968102073365
117540,6957,0.10662167092302077,1.3346764039284815,12,119103,0.09474188252462601,0.02266431629312516,1.3120120876353563
117520,6976,0.10676689443401466,1.3514647863678335,13,119102,0.09474260262831868,0.023503735415092757,1.3279610509527409
117451,7040,0.10728455680038917,1.4093847057835978,14,119101,0.09474332274295794,0.024343154537060353,1.3850415512465375
117416,7072,0.10754379964276217,1.4387643750524637,15,119098,0.0947592444799149,0.02686141190296315,1.4119029631495006
117344,7137,0.10808427837402323,1.4992025518341308,16,119097,0.09475996473199355,0.02770083102493075,1.4715017208092
117258,7218,0.10873117821880007,1.5713925963233442,17,119096,0.09476068499502144,0.028540250146898344,1.5428523461764458
117174,7299,0.109362885939709,1.6419038025686223,18,119095,0.09476140526899868,0.029379669268865944,1.6125241332997564
117099,7366,0.10992619393285241,1.7048602367161925,19,119094,0.0947621255539256,0.030219088390833544,1.674641148325359
116981,7469,0.11081635755548802,1.803911693108369,20,119093,0.09476284584980232,0.03105850751280114,1.7728531855955678
