lcc_size,num_components,fragmentation,lcc_drop_percent,k
118755,5901,0.09746236101505557,0.3147821707378494,1
118645,5998,0.09829150769885542,0.40711827415428525,2
118587,6048,0.09872546113682479,0.45580458322840595,3
118530,6097,0.09915182100079045,0.503651473180559,4
118407,6211,0.10007980239407177,0.6069000251825736,5
118322,6287,0.10071898703391247,0.6782506505498195,6
118166,6412,0.1018978057808213,0.8092000335767648,7
117967,6590,0.10340345970267228,0.9762444388483169,8
117859,6681,0.10421749473668207,1.0669017040208177,9
117764,6752,0.104932735426009,1.1466465206077394,10
117605,6901,0.10613442376243643,1.2801141610005875,11
117540,6957,0.10662167092302077,1.3346764039284815,12
117520,6976,0.10676689443401466,1.3514647863678335,13
117451,7040,0.10728455680038917,1.4093847057835978,14
117416,7072,0.10754379964276217,1.4387643750524637,15
117344,7137,0.10808427837402323,1.4992025518341308,16
117258,7218,0.10873117821880007,1.5713925963233442,17
117174,7299,0.109362885939709,1.6419038025686223,18
117099,7366,0.10992619393285241,1.7048602367161925,19
116981,7469,0.11081635755548802,1.803911693108369,20
